interaction_type,duration,page_or_product,age,converted
8,2.0,21,50.0,0
12,143.0,21,29.0,1
3,10.0,1,47.0,0
12,43.0,21,45.0,1
12,174.0,20,27.0,1
12,87.0,26,28.0,1
4,42.0,32,29.0,0
1,10.0,6,34.0,0
12,22.0,31,25.0,1
11,164.0,11,37.0,0
12,34.0,26,34.0,1
2,74.0,10,38.0,0
11,158.0,28,30.0,0
7,3.0,2,42.0,0
12,10.0,22,34.0,1
12,11.0,18,50.0,1
12,12.0,26,42.0,1
12,120.0,18,39.0,1
12,59.0,22,27.0,1
12,206.0,21,45.0,1
12,30.0,27,33.0,1
13,93.0,23,24.0,0
1,7.0,9,34.0,0
12,161.0,27,41.0,1
12,59.0,22,27.0,1
12,32.0,18,30.0,1
6,161.0,30,18.0,0
7,8.0,19,57.0,0
11,108.0,32,36.0,0
12,246.0,6,22.0,1
7,1.0,21,20.0,0
3,55.0,29,18.0,0
12,61.0,27,31.0,1
12,265.0,7,37.0,1
4,40.0,14,31.0,0
1,10.0,7,38.0,0
2,56.0,29,28.0,0
12,120.0,18,39.0,1
0,3.0,25,37.0,0
11,205.0,23,46.0,0
8,5.0,19,34.0,0
12,77.0,3,22.0,1
2,95.0,14,28.0,0
7,8.0,18,52.0,0
12,17.5,22,18.0,1
11,130.0,29,30.0,0
12,78.0,27,33.0,1
8,7.0,18,40.0,0
12,44.5,31,51.0,1
12,20.0,27,40.0,1
7,4.0,21,18.0,0
12,22.0,19,27.0,1
12,126.0,21,46.0,1
12,12.5,15,37.0,1
9,53.0,22,34.0,0
12,206.0,12,24.0,1
7,9.0,27,18.0,0
3,27.0,9,51.0,0
12,26.0,3,29.0,1
6,89.0,27,31.0,0
11,199.0,6,28.0,0
10,10.0,28,28.0,0
12,85.0,21,39.0,1
10,6.0,7,28.0,0
11,166.0,9,33.0,0
12,52.0,18,34.0,1
3,47.0,10,18.0,0
12,93.0,16,35.0,1
9,16.0,3,31.0,0
12,11.0,21,28.0,1
12,21.5,18,26.0,1
12,14.0,26,38.0,1
7,5.0,22,50.0,0
12,22.0,3,25.0,1
12,29.5,4,37.0,1
12,69.0,27,44.0,1
6,176.0,31,18.0,0
7,1.0,18,31.0,0
12,22.0,27,27.0,1
6,164.0,27,31.0,0
12,71.0,27,37.0,1
10,6.0,20,28.0,0
11,133.0,1,23.0,0
6,50.0,30,51.0,0
12,64.0,19,18.0,1
12,54.0,21,55.0,1
12,189.0,12,22.0,1
12,206.0,21,45.0,1
12,84.0,14,34.0,1
12,64.0,27,42.0,1
9,17.0,30,19.0,0
10,10.0,20,33.0,0
12,19.5,27,42.0,1
12,7.0,26,28.0,1
3,38.0,9,46.0,0
0,3.0,14,22.0,0
12,17.5,19,18.0,1
6,45.0,27,18.0,0
0,3.0,20,20.0,0
6,126.0,18,18.0,0
12,20.0,22,29.0,1
6,143.0,27,44.0,0
12,37.0,3,20.0,1
12,31.0,27,39.0,1
9,24.0,27,42.0,0
12,58.0,3,29.0,1
6,104.0,22,38.0,0
12,130.0,18,37.0,1
12,25.5,21,49.0,1
3,6.0,32,18.0,0
11,88.0,0,50.0,0
0,4.0,5,35.0,0
12,102.5,21,33.0,1
12,21.0,21,32.0,1
12,13.0,4,52.0,1
12,198.0,1,36.0,1
11,198.0,6,42.0,0
12,265.0,5,18.0,1
11,223.0,5,22.0,0
12,79.0,26,30.0,1
6,106.0,22,18.0,0
11,124.0,14,46.0,0
4,11.0,13,31.0,0
12,84.0,27,32.0,1
12,91.0,22,24.0,1
12,80.0,18,37.0,1
12,21.0,19,33.0,1
12,58.5,18,36.0,1
12,153.0,31,38.0,1
12,206.0,26,45.0,1
12,14.5,18,49.0,1
12,76.0,22,28.0,1
12,57.0,18,40.0,1
12,112.5,27,37.0,1
12,9.0,26,21.0,1
12,21.0,18,32.0,1
12,10.5,18,32.0,1
6,11.0,31,28.0,0
12,9.0,31,51.0,1
12,21.0,21,35.0,1
12,142.0,21,55.0,1
12,33.0,17,33.0,1
12,8.0,3,27.0,1
12,161.0,17,21.0,1
12,85.0,3,26.0,1
12,35.0,27,19.0,1
12,21.5,21,31.0,1
12,41.5,27,41.0,1
12,206.0,18,45.0,1
12,134.0,18,37.0,1
12,34.0,26,32.0,1
12,51.0,27,28.0,1
12,43.0,18,35.0,1
12,41.0,26,18.0,1
12,21.5,31,49.0,1
12,92.0,31,45.0,1
12,132.0,30,18.0,1
12,10.0,26,30.0,1
12,59.0,3,27.0,1
12,86.0,18,34.0,1
12,32.5,30,48.0,1
12,15.0,3,23.0,1
12,29.0,3,36.0,1
12,31.0,22,49.0,1
12,109.5,3,26.0,1
12,59.0,26,38.0,1
10,2.0,8,18.0,0
12,3.0,21,39.0,1
11,156.0,20,44.0,0
12,106.0,26,39.0,1
7,10.0,18,24.0,0
7,6.0,22,25.0,0
12,101.0,18,49.0,1
12,58.5,19,39.0,1
12,4.5,18,50.0,1
12,19.0,15,40.0,1
12,101.0,19,30.0,1
12,54.0,18,36.0,1
13,265.0,24,34.0,0
12,131.0,18,44.0,1
13,115.0,8,18.0,0
12,61.0,15,31.0,1
12,21.0,26,33.0,1
7,2.0,27,53.0,0
12,84.0,21,32.0,1
12,143.5,18,57.0,1
12,121.5,31,30.0,1
6,118.0,3,45.0,0
12,40.0,18,43.0,1
12,5.5,27,33.0,1
12,53.0,22,18.0,1
12,14.0,22,18.0,1
12,107.0,19,18.0,1
12,143.0,26,29.0,1
12,125.0,1,30.0,1
9,38.0,21,49.0,0
12,40.5,21,35.0,1
6,166.0,2,45.0,0
12,103.0,28,39.0,1
12,8.0,18,34.0,1
12,11.0,19,28.0,1
7,6.0,27,18.0,0
0,5.0,24,36.0,0
12,65.5,18,35.0,1
12,76.0,22,28.0,1
12,78.5,27,48.0,1
3,32.0,13,34.0,0
12,134.0,27,37.0,1
12,17.5,19,22.0,1
6,173.0,18,32.0,0
12,29.5,22,27.0,1
12,93.0,26,35.0,1
12,60.5,21,37.0,1
12,27.5,26,35.0,1
11,240.0,12,23.0,0
12,124.0,21,22.0,1
6,79.0,26,18.0,0
12,206.0,17,32.0,1
12,65.0,18,35.0,1
12,21.5,3,26.0,1
12,134.0,17,37.0,1
3,13.0,0,44.0,0
8,9.0,21,18.0,0
7,10.0,27,33.0,0
12,54.5,18,46.0,1
12,17.0,22,29.0,1
12,48.0,16,60.0,1
10,5.0,20,26.0,0
13,94.0,23,29.0,0
2,87.0,5,18.0,0
12,71.0,21,37.0,1
12,136.5,18,43.0,1
12,58.0,3,23.0,1
6,72.0,2,18.0,0
6,124.0,30,38.0,0
7,10.0,3,39.0,0
12,44.5,15,51.0,1
8,8.0,26,39.0,0
12,102.5,21,33.0,1
9,29.0,18,30.0,0
12,30.0,18,33.0,1
7,10.0,16,18.0,0
3,11.0,9,32.0,0
12,22.0,19,25.0,1
12,143.5,18,57.0,1
12,25.5,21,49.0,1
12,30.5,31,50.0,1
12,46.0,27,40.0,1
12,14.0,18,38.0,1
12,85.0,22,26.0,1
6,58.0,19,45.0,0
12,54.0,18,36.0,1
12,151.0,21,41.0,1
12,241.0,0,18.0,1
3,47.0,32,43.0,0
12,84.0,18,32.0,1
12,83.0,27,29.0,1
12,55.0,18,30.0,1
6,108.0,19,38.0,0
12,57.0,21,40.0,1
12,95.0,18,34.0,1
4,10.0,7,21.0,0
12,74.0,17,40.0,1
1,6.0,10,18.0,0
8,2.0,27,47.0,0
12,10.0,18,33.0,1
12,74.0,17,40.0,1
12,19.0,18,40.0,1
12,61.0,27,31.0,1
12,161.0,27,41.0,1
12,84.0,21,32.0,1
12,120.0,16,57.0,1
7,7.0,30,28.0,0
2,35.0,11,27.0,0
12,43.0,18,35.0,1
11,223.0,13,23.0,0
12,121.0,18,33.0,1
12,134.5,18,36.0,1
2,119.0,13,47.0,0
12,42.0,16,47.0,1
12,148.0,22,23.0,1
4,32.0,6,31.0,0
8,7.0,27,30.0,0
2,101.0,24,49.0,0
13,202.0,7,18.0,0
6,60.0,18,34.0,0
8,1.0,22,32.0,0
3,11.0,10,38.0,0
12,32.0,18,30.0,1
11,195.0,11,36.0,0
12,102.5,27,33.0,1
11,237.0,7,18.0,0
12,231.0,23,18.0,1
12,9.5,27,25.0,1
12,19.5,27,42.0,1
12,120.0,27,39.0,1
8,7.0,21,37.0,0
12,259.0,23,21.0,1
12,65.5,18,35.0,1
12,206.0,15,32.0,1
13,200.0,24,53.0,0
12,95.0,18,34.0,1
12,23.0,27,23.0,1
12,59.0,18,38.0,1
13,265.0,25,27.0,0
12,12.0,18,30.0,1
12,11.0,3,28.0,1
12,91.0,3,30.0,1
12,21.0,27,35.0,1
12,30.0,21,46.0,1
3,14.0,5,25.0,0
7,5.0,2,18.0,0
12,228.5,31,48.0,1
7,6.0,18,18.0,0
12,40.0,21,25.0,1
12,147.0,3,27.0,1
0,2.0,8,54.0,0
12,109.0,6,36.0,1
1,9.0,29,51.0,0
12,13.0,31,52.0,1
12,10.5,21,50.0,1
4,45.0,11,56.0,0
12,95.0,18,34.0,1
5,117.0,21,18.0,0
12,42.0,27,18.0,1
11,197.0,12,38.0,0
12,143.5,18,57.0,1
6,70.0,31,31.0,0
7,9.0,21,29.0,0
12,73.0,31,54.0,1
7,1.0,31,29.0,0
12,58.5,26,36.0,1
11,260.0,25,39.0,0
12,76.0,27,32.0,1
8,8.0,16,53.0,0
6,101.0,27,33.0,0
6,82.0,2,55.0,0
0,4.0,13,22.0,0
7,8.0,19,40.0,0
5,23.0,27,29.0,0
12,45.0,22,30.0,1
7,7.0,22,22.0,0
12,121.0,18,48.0,1
12,120.0,27,39.0,1
13,58.0,25,29.0,0
12,55.0,21,30.0,1
12,44.5,18,51.0,1
12,37.5,27,41.0,1
2,115.0,6,18.0,0
12,49.5,26,36.0,1
12,9.0,18,32.0,1
12,148.0,18,43.0,1
3,33.0,25,20.0,0
10,3.0,29,37.0,0
12,14.0,18,41.0,1
12,117.0,11,33.0,1
12,7.0,31,49.0,1
12,119.0,21,39.0,1
12,47.0,26,22.0,1
2,70.0,28,26.0,0
12,65.5,21,47.0,1
12,119.0,31,39.0,1
12,38.0,17,53.0,1
12,8.0,16,40.0,1
12,10.0,26,32.0,1
12,54.0,21,36.0,1
12,172.0,30,23.0,1
12,46.0,26,35.0,1
12,148.0,26,23.0,1
12,7.0,31,51.0,1
12,121.5,26,30.0,1
12,40.0,27,43.0,1
1,6.0,10,33.0,0
12,148.0,18,43.0,1
12,10.0,31,32.0,1
7,4.0,18,34.0,0
3,47.0,32,18.0,0
12,12.5,3,27.0,1
12,101.0,27,49.0,1
12,68.0,15,39.0,1
12,61.0,14,52.0,1
12,32.0,22,21.0,1
5,35.0,19,18.0,0
12,12.0,26,42.0,1
12,228.5,21,48.0,1
12,60.5,21,37.0,1
12,55.0,27,30.0,1
12,22.0,22,25.0,1
12,9.0,27,32.0,1
2,22.0,25,27.0,0
2,44.0,9,18.0,0
12,53.0,18,31.0,1
12,143.5,18,57.0,1
6,148.0,21,43.0,0
12,16.5,30,53.0,1
11,243.0,10,53.0,0
12,20.0,27,29.0,1
12,113.0,27,30.0,1
11,130.0,28,35.0,0
9,25.0,27,34.0,0
12,10.0,27,38.0,1
11,265.0,9,25.0,0
12,21.0,26,33.0,1
12,83.0,19,25.0,1
12,37.0,18,44.0,1
12,73.0,18,54.0,1
12,29.0,30,39.0,1
12,113.0,21,30.0,1
12,138.0,27,22.0,1
3,22.0,29,20.0,0
6,127.0,26,29.0,0
6,120.0,16,57.0,0
12,54.0,21,55.0,1
11,90.0,5,42.0,0
12,115.0,21,59.0,1
11,218.0,20,28.0,0
12,57.0,26,27.0,1
6,59.0,3,27.0,0
12,10.0,18,34.0,1
7,6.0,30,18.0,0
12,84.0,0,18.0,1
13,265.0,7,34.0,0
12,151.0,18,41.0,1
6,153.0,21,29.0,0
12,71.0,27,20.0,1
8,2.0,2,57.0,0
10,6.0,23,41.0,0
12,107.0,3,25.0,1
12,12.5,27,27.0,1
12,80.0,26,37.0,1
12,122.0,15,23.0,1
12,135.0,18,30.0,1
12,182.0,27,36.0,1
12,8.5,22,29.0,1
6,59.0,3,30.0,0
3,40.0,29,48.0,0
12,109.5,19,47.0,1
12,41.0,4,38.0,1
12,18.0,26,43.0,1
12,37.5,26,41.0,1
12,28.0,21,40.0,1
12,43.0,18,35.0,1
13,247.0,5,22.0,0
11,177.0,25,42.0,0
12,202.0,29,30.0,1
11,265.0,11,21.0,0
12,10.0,19,36.0,1
11,189.0,24,18.0,0
12,49.0,21,51.0,1
12,60.0,12,55.0,1
12,77.0,3,22.0,1
2,27.0,24,39.0,0
12,143.0,19,29.0,1
12,81.0,18,32.0,1
12,165.0,16,40.0,1
10,5.0,28,29.0,0
3,8.0,1,38.0,0
12,55.0,19,29.0,1
12,60.5,26,37.0,1
8,9.0,30,38.0,0
12,12.5,22,27.0,1
12,51.0,15,28.0,1
12,43.0,18,45.0,1
12,93.0,18,35.0,1
12,33.0,21,33.0,1
12,68.0,21,34.0,1
6,157.0,18,23.0,0
8,3.0,19,25.0,0
12,20.0,4,18.0,1
11,135.0,23,30.0,0
12,95.0,21,34.0,1
12,120.0,21,39.0,1
12,39.0,26,37.0,1
12,49.0,21,34.0,1
12,65.5,19,47.0,1
12,8.0,18,55.0,1
8,7.0,18,36.0,0
12,253.0,29,24.0,1
12,7.0,18,57.0,1
11,199.0,20,18.0,0
12,8.0,21,40.0,1
12,106.0,22,28.0,1
12,169.0,23,27.0,1
12,60.0,4,44.0,1
6,26.0,21,46.0,0
12,148.0,19,23.0,1
12,29.0,21,35.0,1
12,114.0,26,21.0,1
12,171.5,3,23.0,1
12,14.5,31,49.0,1
12,28.0,17,36.0,1
12,12.0,27,28.0,1
8,5.0,16,52.0,0
12,58.0,17,29.0,1
12,86.0,17,34.0,1
8,8.0,18,27.0,0
12,150.0,23,42.0,1
2,29.0,8,37.0,0
6,34.0,22,41.0,0
12,11.0,21,50.0,1
8,7.0,30,41.0,0
12,76.0,18,32.0,1
12,52.5,19,18.0,1
7,9.0,16,34.0,0
12,83.0,27,35.0,1
7,5.0,16,31.0,0
12,109.0,3,27.0,1
12,104.0,7,18.0,1
2,81.0,32,18.0,0
12,73.0,27,28.0,1
12,21.0,21,60.0,1
12,8.5,18,47.0,1
12,14.5,18,49.0,1
11,240.0,11,56.0,0
12,34.0,18,34.0,1
0,4.0,29,18.0,0
12,41.5,21,26.0,1
3,21.0,13,18.0,0
12,41.5,21,26.0,1
12,86.0,31,56.0,1
12,17.5,19,18.0,1
6,180.0,22,28.0,0
12,139.0,18,41.0,1
12,78.0,21,33.0,1
12,86.0,18,35.0,1
12,44.5,18,51.0,1
13,195.0,9,23.0,0
12,55.0,30,30.0,1
6,103.0,27,28.0,0
12,26.0,15,37.0,1
2,83.0,7,34.0,0
12,60.5,18,42.0,1
12,265.0,11,47.0,1
12,27.0,22,39.0,1
12,17.5,19,29.0,1
11,78.0,32,35.0,0
12,63.0,26,25.0,1
12,44.0,27,30.0,1
1,9.0,20,36.0,0
12,186.0,24,43.0,1
12,10.0,15,34.0,1
12,158.0,20,34.0,1
12,59.0,27,32.0,1
6,113.5,3,40.0,0
11,177.0,10,18.0,0
12,47.0,21,31.0,1
3,20.0,32,38.0,0
12,26.0,21,37.0,1
6,93.0,30,28.0,0
12,10.0,21,33.0,1
12,131.0,21,44.0,1
11,174.0,5,18.0,0
12,36.0,21,30.0,1
13,199.0,13,37.0,0
12,64.5,18,50.0,1
13,105.0,6,25.0,0
12,3.0,21,32.0,1
13,121.0,28,33.0,0
3,51.0,0,34.0,0
12,8.5,3,49.0,1
12,10.0,26,38.0,1
6,81.0,16,34.0,0
12,139.0,18,41.0,1
6,149.0,18,50.0,0
12,44.0,18,34.0,1
12,10.0,18,38.0,1
12,9.0,18,37.0,1
12,87.0,24,18.0,1
12,80.5,26,33.0,1
12,143.5,31,57.0,1
11,174.0,13,18.0,0
12,49.0,18,51.0,1
12,163.0,21,44.0,1
12,14.5,21,49.0,1
11,205.0,29,22.0,0
6,163.0,30,36.0,0
12,56.0,21,30.0,1
12,76.0,21,37.0,1
12,31.0,17,40.0,1
2,119.0,23,47.0,0
12,62.0,22,28.0,1
3,42.0,23,35.0,0
8,4.0,16,26.0,0
0,4.0,9,27.0,0
12,7.0,18,57.0,1
12,104.5,26,30.0,1
3,15.0,13,37.0,0
12,85.0,27,26.0,1
6,23.0,21,19.0,0
12,76.0,27,18.0,1
12,20.0,27,33.0,1
12,79.0,20,18.0,1
12,74.0,21,37.0,1
11,177.0,25,39.0,0
12,41.0,26,31.0,1
9,44.0,18,35.0,0
12,70.0,21,46.0,1
11,226.0,20,33.0,0
12,81.0,18,32.0,1
12,42.5,22,31.0,1
12,10.0,31,55.0,1
12,55.0,22,38.0,1
12,41.5,3,26.0,1
12,109.0,21,45.0,1
11,258.0,10,18.0,0
11,198.0,9,25.0,0
12,8.0,21,40.0,1
6,21.0,30,26.0,0
12,32.0,31,46.0,1
12,113.0,1,24.0,1
12,8.0,15,34.0,1
12,87.0,18,44.0,1
11,7.0,18,38.0,0
11,265.0,13,41.0,0
12,37.0,27,44.0,1
11,170.0,28,27.0,0
12,31.0,26,18.0,1
0,2.0,1,42.0,0
3,30.0,12,33.0,0
7,9.0,18,32.0,0
12,134.0,21,37.0,1
12,10.5,16,38.0,1
12,26.0,19,29.0,1
12,78.0,27,33.0,1
6,109.0,19,18.0,0
3,55.0,8,21.0,0
12,81.0,19,18.0,1
12,171.5,19,43.0,1
3,45.0,10,31.0,0
6,16.0,3,19.0,0
12,5.5,21,33.0,1
3,22.0,13,50.0,0
6,56.0,18,45.0,0
0,3.0,9,18.0,0
12,67.0,26,18.0,1
12,65.5,19,35.0,1
12,47.0,19,22.0,1
12,46.0,18,35.0,1
11,66.0,9,25.0,0
12,8.0,26,41.0,1
12,49.0,21,34.0,1
13,265.0,11,34.0,0
12,113.5,4,40.0,1
7,8.0,16,39.0,0
12,143.0,26,29.0,1
13,265.0,5,28.0,0
12,127.0,26,42.0,1
12,6.0,26,30.0,1
12,166.0,5,43.0,1
1,9.0,29,32.0,0
12,109.0,22,27.0,1
12,15.5,27,34.0,1
13,246.0,10,39.0,0
12,8.0,18,40.0,1
12,34.0,27,32.0,1
12,5.5,18,44.0,1
12,91.5,16,33.0,1
12,19.5,21,42.0,1
6,66.0,2,49.0,0
12,5.5,27,44.0,1
12,71.0,3,18.0,1
12,21.0,18,33.0,1
3,37.0,6,18.0,0
12,132.0,31,50.0,1
7,6.0,18,30.0,0
12,101.0,31,49.0,1
2,17.0,0,35.0,0
12,21.0,19,37.0,1
12,39.0,26,32.0,1
2,25.0,1,24.0,0
12,18.0,22,32.0,1
12,49.5,26,36.0,1
12,158.0,2,31.0,1
12,3.0,17,32.0,1
11,235.0,9,32.0,0
10,7.0,29,28.0,0
12,53.0,17,39.0,1
7,1.0,31,42.0,0
2,62.0,5,18.0,0
12,28.0,21,33.0,1
12,29.0,21,50.0,1
2,14.0,12,23.0,0
12,20.0,22,24.0,1
7,7.0,21,41.0,0
3,48.0,0,28.0,0
12,148.0,3,23.0,1
12,28.0,27,37.0,1
12,63.5,26,20.0,1
10,10.0,7,30.0,0
12,91.0,18,30.0,1
12,206.0,31,45.0,1
12,143.5,21,57.0,1
12,176.0,7,32.0,1
12,8.0,26,34.0,1
12,20.0,22,18.0,1
2,114.0,29,41.0,0
12,218.0,26,41.0,1
12,28.0,26,34.0,1
3,15.0,8,37.0,0
12,31.0,18,49.0,1
12,18.0,4,43.0,1
2,115.0,14,50.0,0
2,52.0,24,35.0,0
12,24.0,3,23.0,1
2,51.0,32,37.0,0
12,64.0,21,53.0,1
12,32.0,18,30.0,1
12,134.0,29,25.0,1
11,261.0,25,38.0,0
7,7.0,22,24.0,0
12,140.0,28,32.0,1
12,114.0,21,55.0,1
2,52.0,25,29.0,0
6,148.0,2,33.0,0
12,102.0,24,47.0,1
5,80.0,21,51.0,0
11,134.0,14,28.0,0
11,215.0,6,18.0,0
13,10.0,13,38.0,0
12,76.5,19,20.0,1
11,65.0,10,24.0,0
2,16.0,0,32.0,0
12,5.5,18,44.0,1
3,14.0,8,18.0,0
12,55.0,26,30.0,1
6,70.0,27,44.0,0
7,7.0,21,20.0,0
12,88.0,16,41.0,1
11,178.0,23,37.0,0
3,56.0,9,29.0,0
12,55.0,27,35.0,1
12,29.0,18,36.0,1
12,59.0,26,28.0,1
6,124.0,26,34.0,0
12,152.0,27,18.0,1
6,149.0,2,18.0,0
11,63.0,5,26.0,0
13,148.0,9,18.0,0
6,115.0,31,18.0,0
12,265.0,13,26.0,1
12,29.0,26,36.0,1
12,81.0,21,57.0,1
4,23.0,32,35.0,0
12,81.0,20,18.0,1
11,87.0,24,33.0,0
10,2.0,8,35.0,0
8,3.0,21,18.0,0
12,85.5,22,24.0,1
2,67.0,14,18.0,0
7,6.0,27,18.0,0
8,7.0,30,28.0,0
12,24.5,18,38.0,1
12,48.0,18,38.0,1
0,5.0,14,18.0,0
12,37.5,3,23.0,1
13,265.0,12,37.0,0
13,182.0,6,38.0,0
11,183.0,10,25.0,0
6,140.0,26,18.0,0
12,10.0,26,32.0,1
12,16.0,26,41.0,1
12,46.0,15,35.0,1
12,131.0,18,44.0,1
12,108.0,27,38.0,1
2,113.0,14,55.0,0
1,5.0,20,45.0,0
6,106.0,18,34.0,0
12,134.5,26,36.0,1
13,265.0,28,28.0,0
12,15.0,30,23.0,1
12,25.0,27,37.0,1
12,33.0,27,33.0,1
1,7.0,32,19.0,0
12,37.5,19,23.0,1
2,104.5,11,42.0,0
12,37.0,19,18.0,1
7,2.0,30,34.0,0
12,32.0,18,31.0,1
12,10.0,31,55.0,1
12,91.5,27,41.0,1
3,7.0,1,18.0,0
12,10.0,21,38.0,1
12,23.0,22,26.0,1
12,41.5,18,52.0,1
12,10.0,18,32.0,1
12,57.0,18,40.0,1
3,5.0,29,34.0,0
12,104.5,27,42.0,1
3,21.0,5,18.0,0
12,118.0,1,39.0,1
12,13.0,31,52.0,1
7,6.0,21,34.0,0
6,144.0,27,31.0,0
8,1.0,30,32.0,0
12,8.0,27,34.0,1
12,10.5,27,32.0,1
11,191.0,25,31.0,0
12,10.5,26,32.0,1
8,2.0,27,34.0,0
12,121.0,26,33.0,1
12,92.0,26,45.0,1
12,63.0,19,25.0,1
3,52.0,0,29.0,0
12,76.0,18,55.0,1
12,141.0,26,37.0,1
12,13.0,18,42.0,1
8,9.0,30,53.0,0
12,261.0,5,25.0,1
12,54.0,22,43.0,1
12,47.0,26,40.0,1
12,43.0,18,35.0,1
6,117.0,21,32.0,0
7,8.0,3,40.0,0
12,93.5,18,32.0,1
12,104.5,27,30.0,1
4,25.0,28,38.0,0
7,1.0,18,32.0,0
12,71.0,31,47.0,1
12,18.5,18,40.0,1
12,21.5,27,31.0,1
12,161.0,22,21.0,1
12,148.0,31,47.0,1
3,11.0,11,50.0,0
12,68.0,18,39.0,1
12,53.0,21,39.0,1
12,100.5,18,47.0,1
3,42.0,9,36.0,0
12,87.0,27,44.0,1
12,109.0,3,27.0,1
12,54.0,3,34.0,1
12,23.0,27,41.0,1
12,151.0,21,41.0,1
7,2.0,16,40.0,0
4,55.0,0,35.0,0
9,33.0,21,35.0,0
12,41.5,27,41.0,1
12,97.0,31,59.0,1
12,8.0,3,37.0,1
12,8.0,26,41.0,1
12,33.0,31,50.0,1
12,34.5,27,33.0,1
12,8.0,26,41.0,1
7,1.0,22,26.0,0
7,8.0,26,38.0,0
12,22.0,19,60.0,1
12,62.0,19,28.0,1
8,9.0,21,34.0,0
12,33.0,31,50.0,1
12,14.0,21,41.0,1
12,97.5,30,18.0,1
12,141.0,26,37.0,1
11,241.0,20,18.0,0
12,171.5,27,43.0,1
2,24.0,6,41.0,0
12,142.0,18,42.0,1
12,56.0,27,24.0,1
2,77.0,12,25.0,0
12,63.0,18,34.0,1
12,65.5,21,33.0,1
12,29.0,21,41.0,1
12,116.0,22,21.0,1
12,89.0,21,34.0,1
12,192.0,8,34.0,1
12,80.5,18,32.0,1
12,42.0,18,18.0,1
12,97.0,21,59.0,1
12,43.0,31,45.0,1
12,25.0,22,18.0,1
3,15.0,11,18.0,0
12,54.0,22,48.0,1
12,120.0,19,39.0,1
12,45.0,21,53.0,1
12,42.0,18,45.0,1
12,21.5,21,49.0,1
12,101.0,18,49.0,1
12,17.0,26,42.0,1
12,41.0,3,28.0,1
12,45.0,31,30.0,1
12,81.0,18,60.0,1
5,66.0,22,47.0,0
12,81.0,18,60.0,1
12,10.0,15,30.0,1
12,113.5,26,40.0,1
12,18.5,27,40.0,1
12,110.5,18,40.0,1
12,148.0,22,43.0,1
12,78.0,18,33.0,1
12,49.5,27,36.0,1
10,166.0,20,45.0,0
11,188.0,14,44.0,0
12,149.5,27,18.0,1
4,28.0,28,39.0,0
12,59.0,3,34.0,1
12,60.0,27,28.0,1
12,59.0,18,34.0,1
12,12.5,21,37.0,1
6,20.0,19,33.0,0
12,76.5,3,18.0,1
12,8.0,19,27.0,1
8,7.0,3,25.0,0
11,193.0,6,18.0,0
13,265.0,6,39.0,0
12,44.0,18,34.0,1
12,81.5,26,43.0,1
8,7.0,30,35.0,0
7,6.0,19,38.0,0
12,17.5,31,43.0,1
12,112.5,21,37.0,1
12,18.0,26,31.0,1
12,31.0,18,39.0,1
12,32.0,18,30.0,1
12,206.0,16,32.0,1
4,16.0,10,30.0,0
12,10.0,21,46.0,1
8,10.0,27,35.0,0
12,8.0,30,40.0,1
12,120.0,21,39.0,1
7,2.0,18,25.0,0
12,143.0,27,29.0,1
